"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","MainWindowHandle","MainWindowTitle","Responding","ProcessName","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","Site","Container"
"mmaintenanced","3255","0","0","0","0","0","/usr/libexec/mmaintenanced","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","9580","0",,"False",,,"3255",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"3255",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (mmaintenanced)","0","","True","mmaintenanced",,,,,
"microstackshot","8845","0","0","0","0","0","/usr/libexec/microstackshot","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","9552","0",,"False",,,"8845",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"8845",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (microstackshot)","0","","True","microstackshot",,,,,
"mediaremoted","108","0","0","0","0","0","/System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","9516","0",,"False",,,"108",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"108",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (mediaremoted)","0","","True","mediaremoted",,,,,
"mdworker","1","0","0","0","0","0","/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdworker","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","9480","0",,"False",,,"1293",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (mdworker)","0","","True","mdworker",,,,,
"mds_stores","322","0","0","0","0","0","/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds_stores","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","8520","0",,"False",,,"322",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"322",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (mds_stores)","0","","True","mds_stores",,,,,
"mds","131","0","0","0","0","0","/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","12036","0",,"False",,,"131",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"131",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (mds)","0","","True","mds",,,,,
"mDNSResponderHelper","226","0","0","0","0","0","/usr/sbin/mDNSResponderHelper","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","9368","0",,"False",,,"226",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"226",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (mDNSResponderHelper)","0","","True","mDNSResponderHelper",,,,,
"mDNSResponder","207","0","0","0","0","0","/usr/sbin/mDNSResponder","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","9336","0",,"False",,,"207",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"207",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (mDNSResponder)","0","","True","mDNSResponder",,,,,
"ManagementTestSubscriber","1352","0","0","0","0","0","/System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/ManagementTestSubscriber.xpc/Contents/MacOS/ManagementTestSubscriber","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","9304","0",,"False",,,"1352",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1352",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (ManagementTestSubscriber)","0","","True","ManagementTestSubscriber",,,,,
"ManagedConfigurationFilesSubscriber","1355","0","0","0","0","0","/System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/ManagedConfigurationFilesSubscriber.xpc/Contents/MacOS/ManagedConfigurationFilesSubscriber","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","9272","0",,"False",,,"1355",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1355",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (ManagedConfigurationFilesSubscriber)","0","","True","ManagedConfigurationFilesSubscriber",,,,,
"lskdd","9566","0","0","0","0","0","/System/Library/PrivateFrameworks/CoreLSKD.framework/Versions/A/lskdd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","9236","0",,"False",,,"9566",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"9566",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (lskdd)","0","","True","lskdd",,,,,
